5838.9774,0.1532,1.1851,0.3754,0.5132,9.7049,2652.3804,0.2681,2.0706,0.2611,31.7077,1209.3219,-0.9986,6.0,0.4084,1.066806359848508,0.973,0.9,3.787,0.4,2.31
5849.9925,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2616,31.7077,1209.2742,-1.0126,8.0,0.4296,1.1574793139976691,0.947,0.9,3.875,0.3,1.47
5849.5231,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2623,31.7211,1210.7412,-1.0126,8.0,0.4296,0.8972147107034938,1.077,0.95,3.921,0.3,1.57
5838.9426,0.1605,1.1861,0.2399,0.5132,9.7062,2666.4325,0.275,2.0512,0.261,31.7078,1204.6282,-1.003,7.0,0.4139,2.340446235336346,0.587,0.7,4.401,0.3,1.67
5849.9925,0.1516,1.1861,0.2332,0.581,9.623,2667.1069,0.268,1.9963,0.2536,31.7077,1209.2742,-1.0126,8.0,0.4296,1.1854074715133098,1.003,0.95,4.237,0.5,4.05
5837.6193,0.1613,1.1861,0.247,0.5401,9.7006,2693.825,0.2752,2.0814,0.2648,31.7082,1209.2771,-1.0043,8.0,0.4069,4.826563790394524,0.868,0.9,3.674,0.5,3.95
5849.5338,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2617,31.7211,1210.7412,-1.0126,8.0,0.4296,1.5322627797982835,1.082,0.95,3.902,0.3,1.57
5849.9817,0.1516,1.1861,0.2335,0.581,9.6244,2666.2129,0.2679,1.9963,0.2623,31.7077,1209.2742,-1.0126,8.0,0.4296,1.4659764629733023,0.796,0.8,4.071,0.25,1.2
5837.4423,0.1586,1.186,0.2489,0.5813,8.9682,2672.1685,0.2703,2.0631,0.2463,31.7055,1210.7188,-1.0126,9.0,0.4106,3.3377120201268546,0.8,0.85,3.851,0.5,2.95
5838.6528,0.1613,1.2088,0.367,0.5395,9.6247,2682.6294,0.2847,2.0814,0.2623,31.7082,1210.7613,-0.4813,5.0,0.4053,1.2470884687210497,0.929,0.9,3.664,0.55,4.07
